seal,ref,d_date,lat,lon,v_mask
B21,hg32-24-11,2011-12-01T21:01:12Z,48.2644500732422,-4.68918991088867,0
B21,hg32-24-11,2011-12-01T21:25:12Z,48.2548599243164,-4.67309999465942,0
B21,hg32-24-11,2011-12-01T21:43:36Z,48.2459716796875,-4.67130994796753,0
B21,hg32-24-11,2011-12-01T22:33:00Z,48.2373199462891,-4.66794013977051,0
B21,hg32-24-11,2011-12-01T22:49:36Z,48.2295608520508,-4.66938018798828,0
B21,hg32-24-11,2011-12-01T23:06:16Z,48.2206916809082,-4.66929006576538,0
B21,hg32-24-11,2011-12-01T23:29:20Z,48.2161903381348,-4.65527009963989,0
B21,hg32-24-11,2011-12-02T00:52:18Z,48.2254905700684,-4.63732004165649,0
B21,hg32-24-11,2011-12-02T01:14:24Z,48.2329711914063,-4.6435399055481,0
B21,hg32-24-11,2011-12-02T01:30:56Z,48.2365684509277,-4.6469202041626,0
B21,hg32-24-11,2011-12-02T01:42:44Z,48.2369995117188,-4.65004014968872,0
B21,hg32-24-11,2011-12-02T01:53:28Z,48.2387313842773,-4.6520299911499,0
B21,hg32-24-11,2011-12-02T02:19:24Z,48.243839263916,-4.65389013290405,0
B21,hg32-24-11,2011-12-02T02:34:24Z,48.2460708618164,-4.65208005905151,0
B21,hg32-24-11,2011-12-02T02:57:00Z,48.249210357666,-4.65298986434937,0
B21,hg32-24-11,2011-12-02T04:00:12Z,48.2630500793457,-4.66450023651123,0
B21,hg32-24-11,2011-12-02T04:13:28Z,48.2646293640137,-4.66332006454468,0
B21,hg32-24-11,2011-12-02T06:03:44Z,48.2923011779785,-4.65350008010864,0
B21,hg32-24-11,2011-12-02T06:26:56Z,48.2932891845703,-4.65022993087769,0
B21,hg32-24-11,2011-12-02T06:37:00Z,48.2907409667969,-4.64691019058228,0
B21,hg32-24-11,2011-12-02T07:01:52Z,48.2768898010254,-4.64343976974487,0
B21,hg32-24-11,2011-12-02T07:14:52Z,48.2732810974121,-4.64312982559204,0
B21,hg32-24-11,2011-12-02T07:26:08Z,48.2733192443848,-4.64315986633301,0
B21,hg32-24-11,2011-12-02T07:37:40Z,48.2732696533203,-4.64331007003784,0
B21,hg32-24-11,2011-12-02T07:49:12Z,48.273380279541,-4.64322996139526,0
B21,hg32-24-11,2011-12-02T08:01:16Z,48.2714195251465,-4.64625978469849,0
B21,hg32-24-11,2011-12-02T08:25:40Z,48.2616310119629,-4.65625,0
B21,hg32-24-11,2011-12-02T08:54:12Z,48.2627410888672,-4.66627979278564,0
B21,hg32-24-11,2011-12-02T09:06:40Z,48.2666816711426,-4.6709098815918,0
B21,hg32-24-11,2011-12-02T09:37:44Z,48.2723503112793,-4.68722009658813,0
B21,hg32-24-11,2011-12-02T09:47:52Z,48.2724189758301,-4.69326019287109,0
B21,hg32-24-11,2011-12-02T09:57:52Z,48.273681640625,-4.70069980621338,0
B21,hg32-24-11,2011-12-02T10:18:56Z,48.2773818969727,-4.71546983718872,0
B21,hg32-24-11,2011-12-02T10:31:52Z,48.2815284729004,-4.72914981842041,0
B21,hg32-24-11,2011-12-02T10:43:16Z,48.2848014831543,-4.74219989776611,0
B21,hg32-24-11,2011-12-02T10:56:24Z,48.2876205444336,-4.7573299407959,0
B21,hg32-24-11,2011-12-02T11:06:28Z,48.2895011901855,-4.76839017868042,0
B21,hg32-24-11,2011-12-02T11:30:36Z,48.294319152832,-4.79698991775513,0
B21,hg32-24-11,2011-12-02T11:42:28Z,48.2973403930664,-4.80927991867065,0
B21,hg32-24-11,2011-12-02T11:52:36Z,48.2996215820313,-4.81745004653931,0
B21,hg32-24-11,2011-12-02T12:03:36Z,48.3030891418457,-4.82989978790283,0
B21,hg32-24-11,2011-12-02T12:13:52Z,48.305778503418,-4.84259986877441,0
B21,hg32-24-11,2011-12-02T12:38:12Z,48.3117599487305,-4.8689398765564,0
B21,hg32-24-11,2011-12-02T12:49:00Z,48.3179588317871,-4.87799978256226,0
B21,hg32-24-11,2011-12-02T12:59:00Z,48.3180084228516,-4.8796501159668,0
B21,hg32-24-11,2011-12-02T13:09:24Z,48.3179397583008,-4.87866020202637,0
B21,hg32-24-11,2011-12-02T13:20:28Z,48.3180313110352,-4.87852001190186,0
B21,hg32-24-11,2011-12-02T13:31:20Z,48.317798614502,-4.87986993789673,0
B21,hg32-24-11,2011-12-02T13:41:20Z,48.3188095092773,-4.87720012664795,0
B21,hg32-24-11,2011-12-02T13:51:28Z,48.3185997009277,-4.87736988067627,0
B21,hg32-24-11,2011-12-02T14:01:32Z,48.3178405761719,-4.87895011901855,0
B21,hg32-24-11,2011-12-02T14:13:56Z,48.320068359375,-4.87782001495361,0
B21,hg32-24-11,2011-12-02T14:39:08Z,48.3194808959961,-4.87758016586304,0
B21,hg32-24-11,2011-12-02T14:59:08Z,48.3179588317871,-4.87800979614258,0
B21,hg32-24-11,2011-12-02T15:09:08Z,48.3179206848145,-4.87883996963501,0
